,Season,Episode,EpisodeTitle,IMDBRating,TotalVotes,AirDate,Description,Viewership,GuestStars,Director,Writers,Number of Guest Stars
31,3,4,Grief Counseling,8.0,4425,12 Oct 2006,Michael takes on the role of office grief counselor when he learns that his old boss has died.,8.83,,Roger Nygard,Jennifer Celotta,1
32,3,5,Initiation,8.1,4305,19 Oct 2006,Dwight takes former temp Ryan to his beet farm to initiate Ryan to his new job at Dunder Mifflin.,8.46,,Randall Einhorn,B. J. Novak,1
33,3,6,Diwali,7.9,4507,2 Nov 2006,"Michael encourages the entire Scranton branch to support Kelly and attend a local celebration of Diwali, the Hindu Festival of Lights. Meanwhile, Andy convinces Jim to turn a late night of work into a drinking game.",8.81,,Miguel Arteta,Mindy Kaling,1
34,3,7,Branch Closing,8.6,4432,9 Nov 2006,"When Jan tells Michael that the Scranton Branch will be shutting down, Michael strives to keep his staff's spirits up. Meanwhile, everyone privately begins to envision how their lives will change in the aftermath.",8.05,,Tucker Gates,Michael Schur,1
35,3,8,The Merger,8.7,4624,16 Nov 2006,Jan informs Michael that the Scanton branch of Dunder Mifflin will be merging with the Stamford Branch. Jim and Pam are reunited while the other employees of both branches must adjust to their new co-workers.,8.63,,Ken Whittingham,Brent Forrester,1
36,3,9,The Convict,8.3,4629,30 Nov 2006,"Michael learns that one of the new employees at Dunder Mifflin Scranton has a criminal record. Meanwhile, Jim helps Andy make a move on Pam.",9.07,,Jeffrey Blitz,Ricky Gervais | Stephen Merchant,1
37,3,10,A Benihana Christmas,8.8,4875,14 Dec 2006,"Trouble among the members of the party planning committee results with Pam and Karen hosting a rival Christmas party, but Michael isn't interested in celebrating after being dumped by Carol.",8.44,,Harold Ramis,Jennifer Celotta,1
38,3,11,Back from Vacation,8.6,4399,4 Jan 2007,"Michael isn't supposed to let anyone know that he and Jan went on vacation together in Jamaica, but he accidentally circulates a compromising photo of them to the office via e-mail.",8.8,,Julian Farino,Justin Spitzer,1
39,3,12,Traveling Salesmen,8.6,4438,11 Jan 2007,"Dwight does a favor for Angela to keep her from getting in trouble. Andy finds out and uses it against him to get in tighter with Michael. Now Dwight must fess up, which will reveal his relationship with Angela, or risk getting fired.",10.12,,Greg Daniels,Michael Schur | Lee Eisenberg | Gene Stupnitsky,1
40,3,13,The Return,8.8,4664,18 Jan 2007,"Andy does the impossible--he makes everyone in the office miss Dwight, who is forced to take a job at Staples. Meanwhile, Oscar comes back to the office and Michael predictably throws a stereotypical Mexican party to celebrate.",10.2,,Greg Daniels,Lee Eisenberg | Gene Stupnitsky | Michael Schur,1
41,3,14,Ben Franklin,8.0,4311,1 Feb 2007,"Michael asks Jim to get a male stripper for Phyllis's office bachelorette party, but he gets a Ben Franklin impersonator instead. Meanwhile, the men's bachelor party goes as planned until Michael becomes uncomfortable with the stripper.",10.11,,Randall Einhorn,Mindy Kaling,1
42,3,15,Phyllis' Wedding,8.2,4368,8 Feb 2007,"Michael exaggerates the importance of his small role in Phyllis's wedding and makes an ass out of himself, and Pam notices that Phyllis stole all of her wedding ideas from her original wedding plans.",8.84,,Ken Whittingham,Caroline Williams,1
43,3,16,Business School,8.9,5080,15 Feb 2007,"Michael is a guest speaker for Ryan's business class, but they have a falling-out after Michael finds out that Ryan spoke negatively about Dunder-Mifflin. And back at the office, Dwight tries to kill a bat that he found in the ceiling.",8.84,,Joss Whedon,Brent Forrester,1
44,3,17,Cocktails,8.4,4314,22 Feb 2007,"While Michael and Jan go to their first Dunder Mifflin outing as an official couple, the office workers left behind go out for happy hour. During happy hour, Roy finds out that Jim and Pam kissed at Casino Night.",8.3,,J.J. Abrams,Paul Lieberstein,1
45,3,18,The Negotiation,9.0,4919,5 Apr 2007,"Dwight saves Jim from an attack by Roy, but Dwight won't allow Jim to thank him for it. Meanwhile, Darryl asks Michael for a pay raise, and Michael discovers that he is woefully underpaid--so Michael goes to headquarters to ask for one himself.",6.74,,Jeffrey Blitz,Michael Schur,1
46,3,19,Safety Training,8.8,4583,12 Apr 2007,"Andy returns to the office after weeks of anger management training, determined to make a fresh start with all the Dunder-Mifflin employees. Meanwhile, it's safety training day in the office, and Michael and Dwight are on a mission to illuminate the dangers of the workplace.",7.71,,Harold Ramis,B. J. Novak,1
