,Season,Episode,EpisodeTitle,IMDBRating,TotalVotes,AirDate,Description,Viewership,GuestStars,Director,Writers,Number of Guest Stars
109,6,19,St. Patrick's Day,7.6,3229,11 Mar 2010,"It's St. Patrick's Day, and the CEO forces the office to work late because she won't leave. In addition, Michael unsuccessfully tries to suck up to his new boss, and Andy and Erin's first date is delayed because Erin is sick.",7.51,,Randall Einhorn,Jonathan Hughes,1
110,6,20,New Leads,7.7,3206,18 Mar 2010,"When the sales staff begins trying to boss around everyone in the office, Michael tries to teach them a lesson by withholding a valuable set of sales leads.",7.63,,Brent Forrester,Brent Forrester,1
111,6,21,Happy Hour,8.6,3668,25 Mar 2010,"Oscar gets everybody in the office to go to Happy Hour so that he can hit on a coworker in shipping. Pam tries to set up Michael with a friend at the bar, but Michael's alter ego, ""Date Mike,"" threatens to spoil the entire evening.",7.17,,Matt Sohn,B. J. Novak,1
112,6,22,Secretary's Day,7.8,3211,22 Apr 2010,"Michael creates problems for Andy on Secretary's Day when he tells Erin that Andy was engaged to Angela, and Kevin is upset after Oscar makes a video comparing Kevin to Cookie Monster.",6.3,,Steve Carell,Mindy Kaling,1
113,6,23,Body Language,7.9,3228,29 Apr 2010,"Michael is hopeful that a potential client is interested in him, but everyone in the office except Pam thinks he's wasting his time. Meanwhile, Dwight recruits Kelly to apply for the Sabre minority management training program.",7.01,,Mindy Kaling,Justin Spitzer,1
114,6,24,The Cover-Up,8.1,3221,6 May 2010,"Michael becomes convinced that Donna is having an affair and puts Dwight on the case, but Pam soon discovers that the suspicions may be true. Meanwhile, Darryl gets revenge on Andy for an earlier incident.",6.84,,Rainn Wilson,Gene Stupnitsky | Lee Eisenberg,1
115,6,25,The Chump,7.7,3110,13 May 2010,"Michael continues to see Donna even after learning she's married and meeting her husband, Dwight and Angela take their baby contract to an arbitrator, and Jim and Pam struggle to stay awake at the office.",6.6,,Randall Einhorn,Aaron Shure,1
116,6,26,Whistleblower,8.0,3210,20 May 2010,"Jo comes to the Scranton branch to find the whistle-blower. However, three different people have confessed to Michael, Michael is protecting them, and the person most people think is the culprit is keeping his mouth shut.",6.6,,Paul Lieberstein,Warren Lieberstein | Halsted Sullivan,1
117,7,1,Nepotism,8.3,3678,23 Sep 2010,"Everybody demands that Michael fire the new office assistant, but he won't because he's his nephew. Meanwhile, Pam tries to play a prank on Dwight, who has bought the office building, to make up for ruining Jim's prank.",8.4,Evan Peters,Jeffrey Blitz,Daniel Chun,1
118,7,2,Counseling,8.2,3338,30 Sep 2010,"Michael is forced to go through counseling with Toby, Dwight seeks revenge on a local mall that refused his business, and Pam tries to fake her way to a promotion.",7.36,,Jeffrey Blitz,B. J. Novak,1
119,7,3,Andy's Play,8.2,3568,7 Oct 2010,"Andy invites the entire office to watch him in the community theater production of ""Sweeney Todd,"" but Erin decides to babysit for Jim and Pam instead, and Michael is upset because he auditioned for the lead and didn't get it.",6.95,,John Scott,Charlie Grandy,1
120,7,4,Sex Ed,7.8,3281,14 Oct 2010,"A herpes scare causes Michael to get back in touch with his ex-girlfriends, where he decides to reevaluate those relationships. Meanwhile, Andy tries to teach safe sex to his officemates, but he has a clear ulterior motive.",7.36,,Paul Lieberstein,Paul Lieberstein,1
121,7,5,The Sting,7.7,3200,21 Oct 2010,"Michael organizes a sting operation to find out the secrets of a rival paper company's salesman who is stealing Dunder Mifflin's clients, and Andy gets Darryl's help to form a band.",6.87,Timothy Olyphant,Randall Einhorn,Mindy Kaling,1
122,7,6,Costume Contest,8.1,3330,28 Oct 2010,"It's Halloween at Dunder Mifflin, and Michael is upset that Darryl went over his head with an idea, and Jim and Pam are obsessed with finding out why Danny didn't call Pam back when they were dating four years ago.",8.07,,Dean Holland,Justin Spitzer,1
123,7,7,Christening,7.4,3321,4 Nov 2010,"During Jim and Pam's daughter's christening, Michael becomes upset over the lack of family-like unity between himself and his employees. So he responds by impulsively joining a teenage church mission to Mexico.",7.65,,Alex Hardcastle,Peter Ocko,1
124,7,8,Viewing Party,7.8,3270,11 Nov 2010,"Michael sabotages Erin's ""Glee"" viewing party because of his contempt for Gabe, Jim and Pam discover that Dwight can keep their daughter from crying, and Andy has a bad reaction to a mixture of wine and a Japanese stimulant.",7.15,,Ken Whittingham,Jon Vitti,1
125,7,9,WUPHF.com,7.7,3169,18 Nov 2010,"Some co-workers who invested in Ryan's Internet venture want him to sell, but Michael refuses to go along. Meanwhile, Jim loses his motivation to work when he reaches his commission cap, and Dwight creates a hay festival in the parking lot.",7.28,,See full summary,Aaron Shure,1
126,7,10,China,8.2,3355,2 Dec 2010,"Pam stands up to Dwight when he makes cutbacks to save money in the building, but will Dwight have the last laugh? Meanwhile, the office is surprised and energized when Michael outsmarts Oscar in a debate about China.",7.31,,Charles McDougall,Halsted Sullivan | Warren Lieberstein,1
127,7,11,Classy Christmas,9.0,4258,9 Dec 2010,"Michael throws an elaborate Christmas party to celebrate Holly's temporary return to the Scranton branch, but is disappointed when he learns that she still has a boyfriend.",7.18,,Rainn Wilson,Mindy Kaling,1
128,7,12,Ultimatum,8.3,3383,20 Jan 2011,"Michael gets upset when Holly returns from the holidays without an engagement ring, but still together with her boyfriend. Meanwhile, Pam tries to help her co-workers keep with their New Year's resolutions.",8.26,,David Rogers,Carrie Kemper,1
129,7,13,The Seminar,7.6,3220,27 Jan 2011,"Andy tries to host a small business seminar at the office. Michael agrees to help by posing as a Greek entrepreneur, and tries to get Holly to play along.",7.93,Ricky Gervais,B.J. Novak,Steve Hely,1
130,7,14,The Search,8.5,3559,3 Feb 2011,"When Jim gets an emergency phone call from Helene, he is forced to leave Michael in the bathroom of a gas station. Meanwhile, Holly, Erin, and Dwight set out on a journey to find Michael. Back at the office, Pam's artwork starts a captioning contest that seems to offend Gabe.",7.29,"Will Arnett,  Ray Romano, Jim Carrey, Ricky Gervais",See full summary,Brent Forrester,4
131,7,15,PDA,8.4,3465,10 Feb 2011,"It's Valentine's Day, and the office is fed up with Michael and Holly's PDA, Andy helps Erin solve Gabe's riddles to find her gift, and Jim and Pam get drunk and try to find a place in the office to have sex.",6.9,,Greg Daniels,Robert Padnick,1
132,7,16,Threat Level Midnight,9.4,7367,17 Feb 2011,"Michael finally finishes his movie ""Threat Level Midnight"" and screens it for his employees at Dunder Mifflin, but Holly is less than enthusiastic for his finished product.",6.41,,Tucker Gates,B. J. Novak,1
133,7,17,Todd Packer,7.4,3163,24 Feb 2011,"Everyone is up in arms after Michael convinces Holly to give Todd Packer an office job, and Andy gets upset after Pam gets a new computer for reception but not for him.",6.12,,Randall Einhorn,Amelie Gillette,1
134,7,18,Garage Sale,9.4,5653,24 Mar 2011,"Michael plans to propose to Holly the day of the Dunder Mifflin garage sale, but Holly may have to take an extended leave of absence to Colorado because her father is sick.",7.07,,Steve Carell,Jon Vitti,1
135,7,19,Training Day,7.7,3277,14 Apr 2011,"Michael makes fast friends with the man coming in to replace him at Dunder Mifflin, but later begins to have second thoughts after seeing him in action.",7.87,Will Ferrell,Paul Lieberstein,Daniel Chun,1
136,7,20,Michael's Last Dundies,9.0,4646,21 Apr 2011,"Michael hosts his final ""Dundies"" as the boss at the Scranton branch, but tension is in the air, and Deangelo Vickers, the new boss, is having trouble with his co-hosting duties.",6.85,,Mindy Kaling,Mindy Kaling,1
137,7,21,"Goodbye, Michael",9.8,12442,28 Apr 2011,"As the office gets ready for Michael's final day at Dunder Mifflin, Michael doesn't tell anyone that he's leaving a day early. Meanwhile, Deangelo accompanies a nervous Andy on a visit to one of Michael's old clients.",8.42,,Paul Feig,Greg Daniels,1
138,7,22,The Inner Circle,7.5,3255,5 May 2011,"Tensions rise and feelings are hurt when Deangelo creates an ""inner circle"" at the office--which is only composed of men.",6.9,,Matt Sohn,Charlie Grandy,1
139,7,23,"Dwight K. Schrute, (Acting) Manager",8.7,3576,12 May 2011,"When Jim rejects Jo's offer, Dwight becomes acting manager at the Scranton branch, but an accident could cause his tenure to be short-lived.",6.45,,Troy Miller,Justin Spitzer,1
140,7,24,Search Committee,8.7,3772,19 May 2011,"The Scranton branch puts together a search committee to find the next boss, but the pool of interviewees proves to be less than impressive, and Dwight demands an interview in spite of his gun accident.",7.29,,Jeffrey Blitz,Paul Lieberstein,1
141,8,1,The List,8.1,3420,22 Sep 2011,"New Dunder Mifflin CEO Robert California leaves a piece of paper with a line down the middle that has names of the Scranton staff on either side of it, leading everyone to try and figure out what it means.",7.64,,B.J. Novak,B. J. Novak,1
142,8,2,The Incentive,8.1,3242,29 Sep 2011,"Under pressure from Robert to increase branch sales, Andy offers an incentive program to the sales staff, which backfires on him when he offers a very personal grand prize.",6.7,,Charles McDougall,Paul Lieberstein,1
143,8,3,Lotto,7.2,3092,6 Oct 2011,"After the entire warehouse staff wins the lottery and quits their job, Darryl becomes depressed and demands to be fired. Meanwhile, the office staff is forced to load the truck for their orders themselves.",5.82,,John Krasinski,Charlie Grandy,1
144,8,4,Garden Party,8.1,3393,13 Oct 2011,"Andy claims to be throwing a garden party at Dwight's farm to impress Robert California, but he's really doing it to win the approval of his parents, who appear to favor his younger brother.",6.08,"Josh Groban, Stephen Collins",David Rogers,Justin Spitzer,2
145,8,5,Spooked,7.5,3036,27 Oct 2011,"Erin is worried that she is about to get fired after she organizes a disastrous office Halloween party for Robert and his son. Meanwhile, Robert probes the minds of the employees to come up with the perfect spooky story.",5.53,,Randall Einhorn,Carrie Kemper,1
146,8,6,Doomsday,7.6,2919,3 Nov 2011,"Dwight installs a ""Doomsday Device"" on the office computers that could get everyone fired if they make too many mistakes, while Gabe tries to hit on one of Darryl's warehouse employees.",6.15,,Troy Miller,Daniel Chun,1
147,8,7,Pam's Replacement,7.7,3126,10 Nov 2011,"A pregnant and insecure Pam tries to prove that Jim is attracted to her temp replacement, and Robert and his musician friends take over a jam session with Andy, Kevin, and Darryl.",5.96,,Matt Sohn,Allison Silverman,1
148,8,8,Gettysburg,6.8,3144,17 Nov 2011,Andy decides to motivate and inspire everyone by taking them on a field trip to Gettysburg. Some people in the office stay behind and Robert California asks them to come up with Dunder Mifflin/Sabre's next big idea.,5.5,,Jeffrey Blitz,Robert Padnick,1
149,8,9,Mrs. California,7.6,3057,1 Dec 2011,"Robert brings his wife to the office so that she can find a job, but he gives Andy conflicting messages about whether to hire her. Meanwhile, Dwight opens a gym in the building and tries to persuade Darryl to join.",5.71,Maura Tierney,Charlie Grandy,Dan Greaney,1
150,8,10,Christmas Wishes,7.9,2989,8 Dec 2011,"Andy tries to make this year's Christmas the best ever by granting each person's holiday wishes. Meanwhile, Robert California tries to drown his sorrows at the office party.",5.79,,Ed Helms,Mindy Kaling,1
151,8,11,Trivia,7.9,2955,12 Jan 2012,"Andy hopes to make up for a sales deficiency by entering and winning a bar trivia competition, while Dwight flies to corporate headquarters in Florida to demand a management interview with Robert.",5.9,,B.J. Novak,Steve Hely,1
152,8,12,Pool Party,8.0,3207,19 Jan 2012,"Robert throws a party for the Dunder Mifflin staff at his house before he sells it because of his divorce. At the party, Erin and Dwight agree to flirt with each other to make Andy jealous, and Jim tries in vain to duck out early.",6.02,,Charles McDougall,Owen Ellickson,1
153,8,13,Jury Duty,7.4,2895,2 Feb 2012,"Jim gets caught in a lie about his week of ""jury duty,"" and new questions emerge when Angela gives birth to a ""premature"" baby.",5.31,,Eric Appel,Aaron Shure,1
154,8,14,Special Project,7.6,2819,9 Feb 2012,"Andy puts Dwight in charge of a special project in Tallahassee, but Dwight doesn't like the team Andy's assembled for him. Meanwhile, Darryl tries to figure out the meaning of Val's Valentine's gift.",5.19,,David Rogers,Amelie Gillette,1
155,8,15,Tallahassee,7.8,2973,16 Feb 2012,"Dwight refuses to let appendicitis get in the way of leading his new team in Tallahassee, while Andy decides to step in for Erin as secretary in the office.",4.38,,Matt Sohn,Daniel Chun,1
156,8,16,After Hours,8.1,3087,23 Feb 2012,"In Tallahassee, Dwight and Todd Packer try to romance Nellie to get the VP position, while Jim wonders if a colleague is trying to hit on him. Back in Scranton, Val's boyfriend shows up with a message for Darryl.",5.02,,Brian Baumgartner,Halsted Sullivan | Warren Lieberstein,1
157,8,17,Test the Store,7.8,2936,1 Mar 2012,"Dwight and his team get ready for the grand opening of the Sabre Store, while Andy makes Toby teach self-defense to the Scranton branch employees after he is beat up in the parking lot by a girl.",4.95,,Brent Forrester,Mindy Kaling,1
158,8,18,Last Day in Florida,7.8,2863,8 Mar 2012,"Jim tries to warn Dwight that he's going to be fired after Robert rejects the Sabre Store idea, but he refuses to listen. Meanwhile, Darryl and Toby try to sell cookies to Kevin, and Erin tells Andy she's not coming back from Florida.",4.89,,Matt Sohn,Robert Padnick,1
159,8,19,Get the Girl,6.4,3357,15 Mar 2012,"Andy goes to Tallahassee to tell Erin that he loves her and needs her to return to Scranton. Meanwhile, Nellie shows up in Scranton and tries to claim Andy's manager position by offering everyone raises.",4.87,,Rainn Wilson,Charlie Grandy,1
160,8,20,Welcome Party,7.0,2958,12 Apr 2012,"Andy tries to break up with his girlfriend after going to Florida to declare his love for Erin, and the office employees are forced against their will to throw a party for the hated Nellie.",4.39,,Ed Helms,Steve Hely,1
161,8,21,Angry Andy,6.8,3215,19 Apr 2012,"Andy and Erin return to Dunder Mifflin, only to discover that Nellie has taken his job and office and refuses to give them up. Meanwhile, Ryan becomes jealous after Pam tries to play matchmaker for Kelly.",4.35,,Claire Scanlon,Justin Spitzer,1
162,8,22,Fundraiser,7.0,2847,26 Apr 2012,Andy confronts Robert for the first time after losing the manager position and quitting his job at a fund raiser sponsored by Angela's husband.,4.17,,David Rogers,Owen Ellickson,1
163,8,23,Turf War,7.6,2763,3 May 2012,"Dwight and Jim fight with the Syracuse over a client after Robert shuts down the Binghamton branch, and Andy sees an opportunity for revenge. Meanwhile Robert tries to figure out the contents of a drunken voicemail to Nellie.",4.44,Chris Bauer,Daniel Chun,Warren Lieberstein | Halsted Sullivan,1
164,8,24,Free Family Portrait Studio,7.7,2882,10 May 2012,"With former CEO David Wallace's help, Andy launches a plan to get revenge on the Scranton branch. Meanwhile, Dwight launches his own plan to find out if he's the father of Angela's baby.",4.49,,B.J. Novak,B. J. Novak,1
165,9,1,New Guys,7.5,3098,20 Sep 2012,"Dwight and Jim are intimidated by the office's newest additions, who are considered younger versions of themselves. Meanwhile, Andy tries to make Nellie's life miserable, and Angela tries to get rid of one of her cats.",4.28,,Greg Daniels,Greg Daniels,1
166,9,2,Roy's Wedding,7.1,2958,27 Sep 2012,"After Roy's wedding, Jim and Pam wonder if they still have any secrets they're hiding from each other. Meanwhile, Clark tricks Erin into a ""news audition,"" and Dwight challenges Nellie's new charity initiative.",4.13,,Matt Sohn,Allison Silverman,1
167,9,3,Andy's Ancestry,7.3,2916,4 Oct 2012,"Nellie plays a trick on Andy after researching his ancestry, Dwight teaches Erin a new language, and Pam tries to teach Nellie how to drive.",4.14,,David Rogers,Jonathan Green | Gabe Miller,1
168,9,4,Work Bus,7.8,3106,18 Oct 2012,"When Jim convinces Dwight that the building is unsafe, Dwight rents a bus and sets up the office inside. Nellie asks for Andy's help in adopting a baby. Meanwhile, Jim tries to make Pam happy with some pie.",4.28,,Bryan Cranston,Brent Forrester,1
169,9,5,Here Comes Treble,6.9,3011,25 Oct 2012,"On Halloween, the Cornell a Capella group pays a visit to Andy, Dwight discovers that Nellie takes anxiety pills, and Pam disapproves of Jim's business decision.",4.0,Stephen Colbert,Claire Scanlon,Owen Ellickson,1
170,9,6,The Boat,7.7,2950,8 Nov 2012,"Andy has one last chance to captain the family boat before he sells it, Jim, Pam, and Nellie prank Dwight with a radio interview, and Kevin finds out about Oscar's affair with Angela's husband.",4.83,Josh Groban,John Krasinski,Dan Sterling,1
171,9,7,The Whale,7.5,2825,15 Nov 2012,"The office trains Dwight to sell to a female client without being offensive, only to discover that the client is Jan Levinson. Angela and Oscar both think the senator is cheating on them, and Jim has trouble on an important conference call.",4.16,,See full summary,Carrie Kemper,1
172,9,8,The Target,7.8,2950,29 Nov 2012,"Angela orders a hit on Oscar for cheating with her husband, the office makes a tower with their customer complaint cards, Jim wines and dines Stanley and Phyllis in exchange for a favor, and Pam begins her mural.",3.88,,Brent Forrester,Graham Wagner,1
173,9,9,Dwight Christmas,8.4,3328,6 Dec 2012,"Dwight puts together a Pennsylvania Dutch-themed office Christmas party, but he ends it abruptly because Jim has to leave for his other job. Meanwhile, Erin seeks comfort from a co-worker after a disappointing text from Andy.",4.16,,Charles McDougall,Robert Padnick,1
174,9,10,Lice,7.6,2923,10 Jan 2013,"Pam causes a lice outbreak but lets Meredith take the blame, Jim has a business meeting with Dr. J, and some coworkers try to get Darryl and Val back together.",4.54,Julius Winfield Erving,Rodman Flender,Niki Schwartz-Wright,1
175,9,11,Suit Warehouse,7.8,2871,17 Jan 2013,"Dwight and Clark pose as father and son to get an account, Darryl goes for an interview with Jim's new business, and everybody in the office goes crazy over a new espresso machine.",4.15,,Matt Sohn,Dan Greaney,1
176,9,12,Customer Loyalty,7.9,2964,24 Jan 2013,"Dwight tries to keep Darryl from leaving Dunder Mifflin, Jim misses his daughter's recital because of an important business meeting, and Nellie is worried that Erin will dump Andy for Pete.",4.19,,Kelly Cantley-Kashima,Jonathan Green | Gabe Miller,1
177,9,13,Junior Salesman,7.5,2803,31 Jan 2013,Dwight gets to hire a new salesman to replace Jim when he is at his other job. But will he promote Clark or go with one of his unqualified friends instead?,4.45,,David Rogers,Carrie Kemper,1
178,9,14,Vandalism,7.4,2814,31 Jan 2013,"Pam tries to find out who vandalized her mural, Darryl finds out that Jim is a slob, and Oscar and Kevin go to Angela and The Senator's child's first birthday party.",3.97,,Lee Kirk,Owen Ellickson,1
179,9,15,Couples Discount,7.2,2871,7 Feb 2013,"Andy returns after three months to an angry office and an even angrier girlfriend, and Jim's Valentines Day with Pam does not go as planned.",4.15,,Troy Miller,Allison Silverman,1
180,9,16,Moving On,8.0,3108,14 Feb 2013,"Andy finds out that Erin dumped him for Pete, Dwight gets Angela's help taking care of his aunt, and Pam interviews with a real estate firm whose boss is a carbon-copy of Michael Scott.",4.06,,Jon Favreau,Graham Wagner,1
181,9,17,The Farm,7.5,3275,14 Mar 2013,Show follows Dwight Schrute a beet farmer running a bed and breakfast inn.,3.54,,Paul Lieberstein,Paul Lieberstein,1
182,9,18,Promos,7.9,2895,4 Apr 2013,"The release of the documentary promos creates tension for the Dunder Mifflin employees, Dwight considers a business venture with his girlfriend's family, and Jim and Darryl have an awkward business meeting with baseball player Ryan Howard.",3.44,Ryan Howard,Jennifer Celotta,Tim McAuliffe,1
183,9,19,Stairmageddon,8.0,3004,11 Apr 2013,"Dwight shoots Stanley with a bull tranquilizer after he refuses to go on a sales call, Jim and Pam head to marriage counseling, The Senator comes out of the closet, and Andy tries to find a talent agent.",3.83,,Matt Sohn,Dan Sterling,1
184,9,20,Paper Airplane,8.0,3085,25 Apr 2013,"The employees hold a paper airplane competition, Andy gets an acting role in a workplace safety video, and Jim and Pam's marriage tensions continue to build.",3.25,,Jesse Peretz,Halsted Sullivan | Warren Lieberstein,1
185,9,21,Livin' the Dream,9.1,4517,2 May 2013,"Dwight becomes regional manager after Andy quits his job, Jim dedicates more time to his Dunder Mifflin job to save his marriage, and Angela has problems with her new living arrangements after her breakup with The Senator.",3.51,Michael Imperioli ,Jeffrey Blitz,Niki Schwartz-Wright,1
186,9,22,A.A.R.M.,9.5,6019,9 May 2013,"Dwight prepares for a marriage proposal and hires an assistant for his assistant, Andy auditions for a singing program, Darryl tries to leave his job without a fuss, and Pam has second thoughts about Jim staying in Scranton.",4.56,,David Rogers,Brent Forrester,1
187,9,23,Finale,9.8,15459,16 May 2013,"One year later, Dunder Mifflin employees past and present reunite for a panel discussion about the documentary and to attend Dwight and Angela's wedding.",5.69,"Joan Cusack, Ed Begley Jr, Rachel Harris, Nancy Walls",Ken Kwapis,Greg Daniels,4
